facility_id,facility_name,betweenness_centrality,in_degree_centrality,out_degree_centrality,in_degree_raw,out_degree_raw,clustering_coefficient,pagerank,avg_incident_delay,avg_sla_breach_rate,total_trip_volume,centrality_rank,centrality_tier
IND462011AAA,BHOPAL MP NAGAR (MADHYA PRADESH),0.0,0.0006038647342995169,0.0006038647342995169,1,1,0.0,0.0005417734058616189,2.2992424242424243,1.0,41,1286,Tier 3 — Local Spoke
IND395001AAA,SURAT_CENTRAL_D_9 (GUJARAT),0.0,0.0006038647342995169,0.0006038647342995169,1,1,0.0,0.0005076750107802548,6.196428571428571,1.0,22,1287,Tier 3 — Local Spoke
IND561203AAB,DODDABLPUR_CHIKADPP_D (KARNATAKA),0.0,0.0006038647342995169,0.0006038647342995169,1,1,1.0,0.000629728707375443,1.627435064935065,1.0,24,1288,Tier 3 — Local Spoke
IND583119AAA,SANDUR_WRDN1DPP_D (KARNATAKA),0.0,0.0006038647342995169,0.0006038647342995169,1,1,1.0,0.00032663266537538694,1.8531746031746033,1.0,18,1289,Tier 3 — Local Spoke
IND560064AAD,BENGALURU_BAGALURU_D (KARNATAKA),0.0,0.0,0.0006038647342995169,0,1,0.0,0.00011994491700815865,2.4615384615384617,1.0,41,1290,Tier 3 — Local Spoke
IND395023AAD,SURAT_CENTRAL_I_4 (GUJARAT),0.0,0.0030193236714975845,0.0030193236714975845,5,5,0.0,0.0024691678003790764,5.1574364524364515,1.0,105,1291,Tier 3 — Local Spoke
IND395009AAA,SURAT_CENTRAL_D_12 (GUJARAT),0.0,0.0006038647342995169,0.0006038647342995169,1,1,0.0,0.0006734720542450905,6.522727272727273,1.0,20,1292,Tier 3 — Local Spoke
IND412105AAC,PUNE_NORTH_D_3 (MAHARASHTRA),0.0,0.0006038647342995169,0.0006038647342995169,1,1,0.0,0.0007945691798726173,2.6135531135531136,1.0,35,1293,Tier 3 — Local Spoke
IND415408AAC,SHIRALA_CENTRAL_DPP_3 (MAHARASHTRA),0.0,0.0006038647342995169,0.0006038647342995169,1,1,1.0,0.0005876479702983128,3.4503367003367007,1.0,17,1294,Tier 3 — Local Spoke
IND508223AAA,THIRUMALAGIRI_XROAD_D (TELANGANA),0.0,0.0012077294685990338,0.0006038647342995169,2,1,0.6666666666666666,0.0005170725550695422,1.580330064201032,1.0,26,1295,Tier 3 — Local Spoke
